Latitude,Longitude,Date,Mw,Depth,VRR
-34.53,-75.46,22/11/2009,5.8,12,0.24347
-35.98,-73.33,02/02/2010,5.9,53.4,0.306854
-35.98,-73.15,27/02/2010,8.8,23.2,17.925842
-34.53,-72.05,28/02/2010,6.2,53.5,0.344582
-35.11,-74.27,01/03/2010,5,18,0.10433
-35.96,-73.85,02/03/2010,5.1,37,0.103599
-36.16,-73.69,03/03/2010,6.1,16.3,0.152493
-36.35,-74.96,04/03/2010,5,16.8,0.154366
-36.5,-72.13,11/03/2010,7,16.3,0.737172
-36.49,-72.11,11/03/2010,6.9,12.9,0.73727
-36.7,-72.13,11/03/2010,7,16.3,0.737172
-36.89,-73.85,15/03/2010,6.2,12,0.316588
-37.74,-73.63,16/03/2010,6.6,13.4,0.344837
-38.31,-73.76,16/03/2010,5.9,17.2,0.344837
-35.6,-74.08,03/05/2010,6.2,14.5,0.136507
-35.67,-74.35,14/09/2010,5.1,16,0.126012
-35.65,-73.55,10/11/2010,5,28.8,0.191614
-36.52,-74.41,01/06/2011,6.3,12,0.382762
-36.61,-74.3,01/06/2011,5.4,27,0.630885
-36.68,-74.03,25/07/2011,5.4,20.5,0.937017
-37.32,-73.31,11/11/2011,5.2,41.3,0.233271
-37.37,-73.42,23/01/2012,6.1,22.2,0.22036
-37.72,-73.36,03/10/2013,5.9,12.7,0.219354
-37.9,-73.9,18/03/2015,6.1,12,0.124209
-37.94,-74.06,18/03/2015,5.4,14.7,0.124209
-38.24,-74.1,20/06/2015,6.4,12,0.18462
-39.77,-74.29,07/01/2016,5.1,32.4,0.440041
-41.65,-72.54,10/01/2016,4.9,50.5,0.199483
-35.46,-73.36,30/10/2013,5.9,12.7,0.219354
-29.75,-71.58,24/08/2015,4.9,44,0.114117
-30.52,-72.31,02/12/2015,4.9,19.2,0.450192
-31.13,-72.09,16/09/2015,8.3,17.4,9.05873
-34.53,-72.13,11/03/2010,7,,0.737172
-29.47,-72.18,11/11/2015,6.8,12.4,0.358171
-29.54,-72.33,07/11/2015,6,12,0.236565
-29.7,-72.29,11/11/2015,6.8,12,0.358171
-30.46,-71.86,31/10/2013,6.5,35.8,0.238536
-30.62,-71.9,10/02/2016,6.4,36.2,0.264092
-30.88,-71.62,26/09/2015,6.3,51.7,0.09115
-30.99,-71.66,07/11/2015,6.7,43.4,0.236565
-31.08,-71.67,10/04/2018,6.23,81.2,0.442165
-31.65,-71.94,17/09/2015,6.8,36.6,0.289031
-31.77,-71.81,21/09/2015,6.6,39,0.177478
-32.31,-72.3,18/09/2015,6.1,13.4,0.274386
-32.34,-72.05,19/09/2015,6.2,19.7,0.108438
-32.76,-71.74,23/08/2014,6.4,42,0.169474
-33.13,-72.07,24/04/2017,6.9,26,0.382913
-33.45,-72.55,04/03/2010,6,12.8,0.202821
-33.62,-72.29,27/02/2010,6.2,24.2,0.173808
-34.53,-72.13,11/03/2010,7,16.3,0.737172
-34.54,-72.11,11/03/2010,6.9,12.9,0.737276
-35.11,-72.05,28/02/2010,6.2,53.5,0.344582
-28.78,-71.69,14/05/2015,5.2,25,0.182363
-29.62,-72.03,29/10/2010,5.2,30.4,0.312457
-29.59,-71.53,23/08/2015,5.7,46,0.100644
-30.36,-71.78,05/10/2015,5.9,42.8,0.115263
-30.57,-72.06,16/12/2016,5.2,35.8,0.143503
-30.66,-71.98,21/11/2015,5.8,32.7,0.194104
-30.71,-72.18,19/09/2015,5.6,23,0.108438
-30.7,-71.54,19/12/2015,5.8,62.4,0.250065
-31.14,-72.02,21/09/2015,5.8,38.8,0.166821
-31.17,-71.95,21/09/2015,5.5,31,0.204105
-32.32,-72.6,18/09/2015,5.5,12,0.284596
-32.85,-72.01,20/12/2007,5.5,25,0.549192
-33.37,-72.59,19/03/2010,5.2,15.1,0.50459
-33.59,-72.36,03/03/2010,5.8,19.1,0.194976
-33.58,-72.21,10/02/2013,5.4,30.9,0.192289
-33.81,-72.44,03/03/2010,5.2,23.5,0.106319
-34.05,-72.39,18/02/2013,5.4,17.1,0.341213
-34.1,-72.47,10/09/2011,5,28.6,0.109069
-34.17,-72.74,04/03/2015,5,25.2,0.15312
-34.17,-72.48,04/05/2010,5.2,23.2,0.145551
-34.16,-72.45,08/11/2011,5.3,28.9,0.183519
-34.25,-72.46,28/02/2010,5.9,31.5,0.171164
-34.9,-74.27,01/03/2010,5,18,0.10433
-22.49,-66.92,01/08/2008,5.3,216.9,0.585683
-25.75,-70.95,04/11/2009,5.1,55.9,0.256506
-19.6,-71.01,13/11/2009,6.5,36.2,0.177656
-21.69,-68.65,18/03/2010,5,171.4,0.11342
-20.07,-69.32,05/04/2010,5.8,124.5,0.173637
-22.11,-68.66,04/05/2010,5.3,134.9,0.409579
-20.13,-69.2,14/02/2011,5.2,124.1,0.234686
-24.08,-69.22,03/11/2011,5.3,113.1,0.730999
-23.44,-70.58,05/11/2011,5.7,36.8,0.112511
-21.83,-68.46,08/10/2012,5.8,131.2,0.129702
-21.77,-68.57,02/02/2013,5,153.9,0.313715
-20.6,-70.98,04/01/2014,5.7,20.3,0.856508
-21.07,-69.89,07/01/2014,5.4,103.5,0.296884
-19.7,-70.81,01/04/2014,8.1,21.6,3.701542
-20.43,-70.6,03/04/2014,7.7,28.7,2.265588
-20.34,-70.88,03/04/2014,6.6,33.7,2.263193
-21.63,-68.8,10/11/2014,5.5,118.1,0.161432
-20.38,-68.99,18/12/2014,4.8,126.6,0.161437
-23.22,-71.01,20/01/2015,5.1,34.3,0.221051
-20.16,-69.33,03/03/2015,5.2,115.7,0.27743
-19.85,-71.18,31/05/2015,5,28.2,0.146845
-19.88,-71.23,15/09/2015,5.1,20.4,0.237565
-19.9,-71.17,15/09/2015,5,27,0.237565
-19.8,-71.12,16/09/2015,5,24.2,0.14839
-19.95,-71.14,16/09/2015,5,23.9,0.14752
-18.79,-70.98,02/03/2016,5.2,60.4,0.325892
-19.96,-71.17,30/04/2017,5.1,21.9,0.228234
-19.68,-71.32,11/12/2017,5.4,12.7,0.275659
-24.93,-70.47,28/12/2017,5.4,72.3,0.399726
-18.96,-69.68,21/01/2018,6.3,134.2,0.136228
-20.3,-70.52,05/04/2018,5.5,8.1,0.485112
-22.64,-70.62,14/11/2007,7.7,37.6,1.963687
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
